Countrygp,Country,CO2,GNIPCAP,Immun,LIFEXP,MALNUT,INFMORT,UND5MORT,POV,FMTED,FMPED,FMSED
6,Russian Federation,9.868028641,1710,97,65.34146118,5.5,19.89999962,25,6.139999866,,,
2,Rwanda,0.071229763,250,74,40.92892838,24.29999924,118,203,51.65999985,47.59696198,96.60806274,93.89385223
1,Samoa,0.784516156,1350,93,69.08438873,,27.81999969,33.90999985,,92.54908752,100.0154572,113.9494858
,San Marino,,,74,,,4.5,6.099999905,,,,
,Sao Tome and Princip,0.629566789,300,69,62.66638947,12.89999962,75,118,,,,
4,Saudi Arabia,13.4169426,7830,94,71.38043976,,23,29,,132.5579987,96.04804993,88.97702789
2,Senegal,0.374801844,450,48,55.19985199,22.70000076,80,139,,,86.76605988,65.4240799
6,Serbia and Montenegr,,1250,89,72.46463776,1.899999976,13.93000031,16.29999924,,117.1043243,99.08539581,101.3323669
5,Seychelles,7.180683136,7300,97,72.33805084,,13,14.5,,,99.81054688,103.4788513
2,Sierra Leone,0.125140309,140,37,40.2095108,27.20000076,167,286,,,,
1,Singapore,14.05793381,23030,94,78.05121613,3.400000095,2.900000095,,,,,
6,Slovak Republic,6.570223808,3870,98,73.19999695,,8.300000191,10,,105.4513397,98.73104858,101.8985825
6,Slovenia,7.342737198,10760,94,75.90975952,,4.900000095,5.599999905,,136.2560577,101.7272949,102.8377686
1,Solomon Islands,0.39375928,680,87,61.79795074,,35.56999969,59.91999817,,,92.49541473,78.28897095
2,Somalia,,,38,45.18858719,25.79999924,133,225,,,,
2,South Africa,7.426594734,3050,77,47.80569077,,50,63,10.71000004,124.010437,95.62943268,110.9499741
5,Spain,6.975116253,15320,94,78.96585083,,4.5,5.5,,118.0470123,98.32740784,106.3393707
1,Sri Lanka,0.525970161,810,99,73.59004974,,16.10000038,19.39999962,,,,
3,St. Kitts and Nevis,2.316578627,6530,99,70.81649017,,,,,,103.575119,106.2780991
3,St. Lucia,2.160876036,4010,88,71.75609589,,16.79999924,16.10000038,,,99.22425079,132.8880463
3,St. Vincent and the,1.327204227,2730,96,70.65131378,,21,21.89999962,,,93.96536255,115.311348
2,Sudan,0.215480834,310,47,55.94185257,40.70000076,65,97,,92.05390167,85.26091003,
3,Suriname,4.879502773,2070,79,68.82717133,13.19999981,31,41,,,,
2,Swaziland,0.960704327,1370,72,45.43983841,10.30000019,98,142,,88.828125,94.32699585,100.2880402
5,Sweden,5.362354279,28650,91,79.64829254,,3.200000048,,,145.5442505,102.4117432,126.9884186
5,Switzerland,5.443809509,40110,80,79.68097687,,4.900000095,5.800000191,,72.00011444,99.41036987,90.42744446
4,Syrian Arab Republic,2.951192856,910,96,72.50370789,6.900000095,19,22,,,92.27545929,91.44001007
6,Tajikistan,0.644898236,180,87,63.44868469,,80.43000031,101.3600006,,34.06364059,92.9041748,85.71591187
2,Tanzania,0.079998828,260,78,46.83404922,,88,141,57.81999969,,98.79906464,
1,Thailand,3.277831316,1990,94,69.47668457,,19,22,2,119.8514252,95.25098419,
,Timor-Leste,,,,,,80,102,,,,
2,Togo,0.334720969,270,58,54.71414566,,80,142,,20.1602211,77.75297546,43.72381592
2,Tonga,1.206827044,1630,95,71.72161102,,22.11000061,26.37000084,,160.024826,97.11938477,109.5098114
3,Trinidad and Tobago,24.18804741,5230,90,70.32736206,5.900000095,20,23,,148.5054321,98.65115356,109.0602875
2,Tunisia,2.156984329,2080,95,72.59999847,4,25,31,2,,95.00362396,105.8127289
5,Turkey,3.286893845,2980,86,68.04389954,,37.5,44,2,68.15769958,90.71240234,
6,Turkmenistan,7.911292076,640,97,62.59082794,12,77,99,,,,
2,Uganda,0.0627027,260,61,45.11960983,23,85,145,,51.37136078,94.32616425,77.21943665
6,Ukraine,6.95488596,700,99,67.86341095,3.200000048,17.89999962,24,,112.9936447,99.03437805,99.76795959
4,United Arab Emirates,27.68593788,19270,94,77.74082947,,8,9,,328.143219,96.21683502,108.2634125
5,United Kingdom,9.500166893,24920,,77.53211212,,5.599999905,,,118.1140137,100.3389664,114.6728058
5,United States,20.65699768,34400,91,77.03414917,,6.900000095,,,131.8994293,98.36801147,100.7402191
3,Uruguay,1.741223335,6150,89,74.88682556,,14.10000038,16.10000038,2,183.7062378,98.42450714,113.8382034
6,Uzbekistan,4.798084259,620,99,67.85170746,,59,71,17.31999969,,,
1,Vanuatu,0.421024054,1240,94,67.74346161,,38.29999924,47.68999863,,,97.66703033,114.6983871
3,"Venezuela, RB",6.554989815,4100,84,73.26951599,4.400000095,17,19.60000038,8.289999962,146.2934418,98.21784973,119.8539963
1,Vietnam,0.741920531,380,97,69.05121613,33.79999924,23,30,,72.44382477,94.40926361,91.23965454
1,Virgin Islands (U.S.,121.6609955,,,77.55658722,,,,,,,
4,West Bank and Gaza,,1750,,72.11988068,,,,,92.22969055,100.7469406,105.8817444
4,"Yemen, Rep.",0.507215202,410,71,59.29063416,,84,117,,27.99699783,62.98762512,41.59262848
2,Zambia,0.170496404,290,85,37.90478134,,102,182,,46.27623367,93.26237488,80.73721313
2,Zimbabwe,1.175264835,460,70,39.84248734,,73,117,,59.34503937,96.86733246,88.01846313
